"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm18411",0,NA,NA,NA,NA,NA
"Gm29706",0,NA,NA,NA,NA,NA
"Olfr656",0,NA,NA,NA,NA,NA
"Olfr655",0,NA,NA,NA,NA,NA
"Olfr654",0,NA,NA,NA,NA,NA
"Olfr653",0,NA,NA,NA,NA,NA
"Olfr652",0,NA,NA,NA,NA,NA
"Olfr651",0,NA,NA,NA,NA,NA
"Trim30e-ps1",0,NA,NA,NA,NA,NA
"Gm6574",0,NA,NA,NA,NA,NA
"Gm16464",0,NA,NA,NA,NA,NA
"Trim30d",0,NA,NA,NA,NA,NA
"Gm25405",0,NA,NA,NA,NA,NA
"Trim30a",0,NA,NA,NA,NA,NA
"Trim30c",26.0785601042237,-0.0427906843920631,1.88626344649893,-0.022685423115995,0.981901203512959,0.99908871025226
"Trim30b",0,NA,NA,NA,NA,NA
"Gm38525",0,NA,NA,NA,NA,NA
"Gm36430",0,NA,NA,NA,NA,NA
"Trim12c",0,NA,NA,NA,NA,NA
"Trim34b",0,NA,NA,NA,NA,NA
"Gm17788",0,NA,NA,NA,NA,NA
"Gm15133",93.96063516685,0.13343922626324,2.23757547009532,0.0596356315336063,0.952445838998909,0.99908871025226
"Trim12a",156.802750492928,-0.13969471029077,2.59201350442895,-0.0538942833639079,0.957019391263023,0.99908871025226
"LOC115486838",0,NA,NA,NA,NA,NA
"LOC115486587",0,NA,NA,NA,NA,NA
"Trim5",2.16553541712476,-2.14666770686321,2.82163000554814,-0.760789934414591,0.446782547434563,0.99908871025226
"Trim34a",0,NA,NA,NA,NA,NA
"Gm8667",0,NA,NA,NA,NA,NA
"Trim6",0,NA,NA,NA,NA,NA
"Olfr650-ps1",0,NA,NA,NA,NA,NA
"Olfr649",0,NA,NA,NA,NA,NA
"Olfr648",0,NA,NA,NA,NA,NA
"Olfr647-ps1",0,NA,NA,NA,NA,NA
"Olfm5",0,NA,NA,NA,NA,NA
"Ubqlnl",0.608395913772663,-2.50982667388622,4.14862522242257,-0.604977923848377,0.545193665175309,NA
"Ubqln3",0.527803164309158,-2.26564738799405,4.49966292051392,-0.503514913898323,0.614602297464248,NA
"Ubqln5",0,NA,NA,NA,NA,NA
"Olfr646",0,NA,NA,NA,NA,NA
"Olfr645",0,NA,NA,NA,NA,NA
"Olfr644",0,NA,NA,NA,NA,NA
"Olfr643",0,NA,NA,NA,NA,NA
"Olfr642",0,NA,NA,NA,NA,NA
"Olfr641",0.166087910147614,-1.0050126202798,4.56209215174643,-0.220296431297441,0.825640299311718,NA
"Olfr640",0,NA,NA,NA,NA,NA
"Olfr639",0,NA,NA,NA,NA,NA
"Olfr638",0,NA,NA,NA,NA,NA
"Olfr637-ps1",0,NA,NA,NA,NA,NA
"Olfr636-ps1",0,NA,NA,NA,NA,NA
"Olfr635",0,NA,NA,NA,NA,NA
"Gm4886",0.166087910147614,-1.0050126202798,4.56209215174643,-0.220296431297441,0.825640299311718,NA
"Olfr634-ps1",0,NA,NA,NA,NA,NA
"Olfr633",0,NA,NA,NA,NA,NA
"Olfr632",0,NA,NA,NA,NA,NA
"Olfr631",0,NA,NA,NA,NA,NA
"Olfr65",0,NA,NA,NA,NA,NA
"Olfr64",0,NA,NA,NA,NA,NA
"Dnajc19-ps",0.451783040215083,0.874586446481972,4.50195184765276,0.194268280976387,0.845965820588461,NA
"Olfr66",0,NA,NA,NA,NA,NA
